SYMBOL,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,OPENINT
BCG,2015-07-16,8.59,9.37,8.43,9.32,2201970.0,0.0
BCG,2015-07-17,9.32,9.94,9.16,9.89,1585500.0,0.0
BCG,2015-07-20,9.89,10.57,9.84,10.41,1404650.0,0.0
BCG,2015-07-21,10.36,10.36,9.68,9.68,163790.0,0.0
BCG,2015-07-22,9.01,9.01,9.01,9.01,1860.0,0.0
BCG,2015-07-23,8.38,8.38,8.38,8.38,42950.0,0.0
BCG,2015-07-24,7.81,7.81,7.81,7.81,13570.0,0.0
BCG,2015-07-27,7.29,8.33,7.29,8.33,2391150.0,0.0
BCG,2015-07-28,8.38,8.9,8.33,8.9,1558070.0,0.0
BCG,2015-07-29,8.9,9.32,8.64,9.27,1514120.0,0.0
BCG,2015-07-30,9.27,9.27,8.64,8.64,408000.0,0.0
BCG,2015-07-31,8.07,8.54,8.07,8.23,1143300.0,0.0
BCG,2015-08-03,8.23,8.23,8.02,8.12,533980.0,0.0
BCG,2015-08-04,8.12,8.33,7.97,8.33,705690.0,0.0
BCG,2015-08-05,8.33,8.54,8.23,8.33,586940.0,0.0
BCG,2015-08-06,8.28,8.38,8.23,8.33,557250.0,0.0
BCG,2015-08-07,8.33,8.38,8.12,8.28,1098740.0,0.0
BCG,2015-08-10,8.28,8.43,8.17,8.23,687310.0,0.0
BCG,2015-08-11,8.23,8.49,8.12,8.33,912320.0,0.0
BCG,2015-08-12,8.33,8.43,8.28,8.33,518400.0,0.0
BCG,2015-08-13,8.28,8.38,8.17,8.33,568170.0,0.0
BCG,2015-08-14,8.33,8.43,8.23,8.28,461220.0,0.0
BCG,2015-08-17,8.28,8.38,8.17,8.23,448820.0,0.0
BCG,2015-08-18,8.23,8.33,8.17,8.28,506950.0,0.0
BCG,2015-08-19,8.23,8.23,8.07,8.23,496190.0,0.0
BCG,2015-08-20,8.23,8.28,8.12,8.23,444010.0,0.0
BCG,2015-08-21,8.23,8.23,7.97,8.12,667530.0,0.0
BCG,2015-08-24,8.12,8.12,7.97,8.12,453690.0,0.0
BCG,2015-08-25,8.12,8.28,8.02,8.17,478680.0,0.0
BCG,2015-08-26,8.17,8.33,8.12,8.28,541340.0,0.0
BCG,2015-08-27,8.28,8.33,8.23,8.28,470310.0,0.0
BCG,2015-08-28,8.23,8.38,8.23,8.28,458230.0,0.0
BCG,2015-08-31,8.28,8.33,8.23,8.28,229710.0,0.0
BCG,2015-09-01,8.28,8.33,8.23,8.28,189700.0,0.0
BCG,2015-09-03,8.28,8.33,8.23,8.33,153400.0,0.0
BCG,2015-09-04,8.28,8.33,8.28,8.33,147730.0,0.0
BCG,2015-09-07,8.28,8.9,8.28,8.9,1425810.0,0.0
BCG,2015-09-08,9.32,9.48,9.11,9.48,1441980.0,0.0
BCG,2015-09-09,9.63,10.1,9.48,10.1,2426490.0,0.0
