SYMBOL,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,OPENINT
VNM,2008-12-01,3.83,3.9,3.8,3.85,130240.0,0.0
VNM,2008-12-02,3.75,3.85,3.75,3.8,38400.0,0.0
VNM,2008-12-03,3.85,3.85,3.78,3.85,80880.0,0.0
VNM,2008-12-04,3.85,3.93,3.8,3.9,163960.0,0.0
VNM,2008-12-05,3.88,3.88,3.78,3.85,81480.0,0.0
VNM,2008-12-08,3.83,3.83,3.67,3.7,124000.0,0.0
VNM,2008-12-09,3.62,3.88,3.62,3.88,92390.0,0.0
VNM,2008-12-10,3.85,3.85,3.78,3.85,67250.0,0.0
VNM,2008-12-11,3.93,4.01,3.93,4.01,263000.0,0.0
VNM,2008-12-12,4.11,4.19,4.08,4.19,225990.0,0.0
VNM,2008-12-15,4.29,4.32,4.16,4.32,103290.0,0.0
VNM,2008-12-16,4.32,4.32,4.14,4.19,121110.0,0.0
VNM,2008-12-17,4.11,4.26,4.11,4.21,99280.0,0.0
VNM,2008-12-18,4.21,4.29,4.21,4.26,81480.0,0.0
VNM,2008-12-19,4.26,4.42,4.26,4.32,177520.0,0.0
VNM,2008-12-22,4.39,4.39,4.32,4.34,82270.0,0.0
VNM,2008-12-23,4.32,4.32,4.19,4.21,122500.0,0.0
VNM,2008-12-24,4.19,4.26,4.19,4.26,68760.0,0.0
VNM,2008-12-25,4.21,4.26,4.21,4.24,27270.0,0.0
VNM,2008-12-26,4.24,4.26,4.21,4.24,51190.0,0.0
VNM,2008-12-29,4.26,4.26,4.24,4.26,36020.0,0.0
VNM,2008-12-30,4.24,4.29,4.21,4.26,139250.0,0.0
VNM,2008-12-31,4.21,4.26,4.21,4.26,70850.0,0.0
VNM,2009-01-02,4.26,4.34,4.26,4.34,64000.0,0.0
VNM,2009-01-05,4.29,4.34,4.29,4.32,107070.0,0.0
VNM,2009-01-06,4.37,4.42,4.37,4.37,57160.0,0.0
VNM,2009-01-07,4.52,4.55,4.44,4.44,218480.0,0.0
VNM,2009-01-08,4.47,4.52,4.39,4.42,191380.0,0.0
VNM,2009-01-09,4.37,4.42,4.37,4.37,238010.0,0.0
VNM,2009-01-12,4.32,4.34,4.32,4.32,84160.0,0.0
VNM,2009-01-13,4.32,4.32,4.29,4.32,28020.0,0.0
VNM,2009-01-14,4.26,4.37,4.26,4.37,72860.0,0.0
VNM,2009-01-15,4.26,4.29,4.26,4.26,170910.0,0.0
VNM,2009-01-16,4.26,4.34,4.26,4.34,78340.0,0.0
VNM,2009-01-19,4.37,4.37,4.32,4.34,28980.0,0.0
VNM,2009-01-20,4.32,4.37,4.32,4.34,4930.0,0.0
VNM,2009-01-21,4.32,4.32,4.26,4.26,80320.0,0.0
VNM,2009-01-22,4.21,4.26,4.21,4.21,98530.0,0.0
VNM,2009-01-23,4.21,4.24,4.21,4.21,52620.0,0.0
VNM,2009-02-02,4.21,4.24,4.21,4.21,26960.0,0.0
VNM,2009-02-03,4.19,4.19,4.03,4.03,106450.0,0.0
VNM,2009-02-04,4.03,4.08,4.03,4.03,33820.0,0.0
VNM,2009-02-05,4.03,4.03,3.96,3.98,74900.0,0.0
VNM,2009-02-06,4.11,4.16,4.06,4.16,130120.0,0.0
VNM,2009-02-09,4.21,4.21,4.14,4.16,48630.0,0.0
VNM,2009-02-10,4.16,4.16,4.01,4.06,17680.0,0.0
VNM,2009-02-11,4.01,4.06,4.01,4.06,57880.0,0.0
VNM,2009-02-12,4.06,4.11,4.03,4.06,66040.0,0.0
VNM,2009-02-13,4.03,4.08,4.03,4.03,80110.0,0.0
VNM,2009-02-16,4.03,4.06,4.01,4.06,29090.0,0.0
VNM,2009-02-17,4.06,4.06,3.93,3.93,151310.0,0.0
VNM,2009-02-18,3.85,3.9,3.83,3.85,215000.0,0.0
VNM,2009-02-19,3.98,3.98,3.9,3.9,74340.0,0.0
VNM,2009-02-20,3.85,3.9,3.8,3.83,181370.0,0.0
VNM,2009-02-23,3.78,3.8,3.75,3.78,134550.0,0.0
VNM,2009-02-24,3.65,3.75,3.6,3.75,249370.0,0.0
VNM,2009-02-25,3.85,3.93,3.8,3.93,116000.0,0.0
VNM,2009-02-26,3.8,3.93,3.78,3.78,93720.0,0.0
VNM,2009-02-27,3.67,3.85,3.67,3.83,70390.0,0.0
VNM,2009-03-02,3.83,3.9,3.83,3.9,66360.0,0.0
VNM,2009-03-03,3.8,3.85,3.8,3.8,36620.0,0.0
VNM,2009-03-04,3.85,3.9,3.83,3.9,32380.0,0.0
VNM,2009-03-05,3.93,3.93,3.83,3.83,55210.0,0.0
VNM,2009-03-06,3.83,3.85,3.83,3.83,47800.0,0.0
VNM,2009-03-09,3.83,3.88,3.83,3.88,41390.0,0.0
VNM,2009-03-10,3.88,3.9,3.83,3.9,47670.0,0.0
