SYMBOL,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,OPENINT
FLC,2011-10-05,6.75,9.03,5.24,9.03,1004400.0,0.0
FLC,2011-10-06,8.31,8.31,8.31,8.31,1100.0,0.0
FLC,2011-10-07,8.87,8.87,8.81,8.87,181500.0,0.0
FLC,2011-10-10,9.42,9.48,9.09,9.48,120300.0,0.0
FLC,2011-10-11,9.37,9.54,8.98,9.48,143300.0,0.0
FLC,2011-10-12,8.7,9.09,8.7,8.92,134200.0,0.0
FLC,2011-10-13,9.2,9.31,8.36,8.53,44700.0,0.0
FLC,2011-10-14,8.36,8.64,8.25,8.25,79500.0,0.0
FLC,2011-10-17,7.81,7.81,7.81,7.81,5000.0,0.0
FLC,2011-10-18,7.3,7.3,7.3,7.3,6500.0,0.0
FLC,2011-10-19,6.8,7.81,6.8,6.86,248800.0,0.0
FLC,2011-10-20,6.41,7.14,6.41,7.14,50500.0,0.0
FLC,2011-10-21,7.25,7.25,6.75,6.75,17200.0,0.0
FLC,2011-10-24,7.08,7.08,6.69,6.8,43800.0,0.0
FLC,2011-10-25,6.86,6.86,6.58,6.64,33700.0,0.0
FLC,2011-10-26,6.64,6.64,6.52,6.52,11300.0,0.0
FLC,2011-10-27,6.69,6.69,6.36,6.36,22500.0,0.0
FLC,2011-10-28,6.19,7.08,6.19,6.69,169300.0,0.0
FLC,2011-10-31,6.64,6.91,6.19,6.41,112300.0,0.0
FLC,2011-11-01,6.64,6.64,6.19,6.19,61900.0,0.0
FLC,2011-11-02,6.36,6.36,5.97,5.97,37200.0,0.0
FLC,2011-11-03,5.63,5.63,5.63,5.63,39600.0,0.0
FLC,2011-11-04,5.24,6.02,5.24,5.97,765400.0,0.0
FLC,2011-11-07,6.19,6.25,5.97,6.25,231200.0,0.0
FLC,2011-11-08,6.41,6.41,5.86,6.02,191600.0,0.0
FLC,2011-11-09,5.97,6.25,5.86,6.02,385800.0,0.0
FLC,2011-11-10,6.02,6.02,5.69,5.8,253500.0,0.0
FLC,2011-11-11,6.02,6.3,5.74,5.97,377500.0,0.0
FLC,2011-11-14,5.74,6.13,5.69,5.74,448400.0,0.0
FLC,2011-11-15,6.08,6.08,5.58,5.91,317200.0,0.0
FLC,2011-11-16,5.35,6.13,5.35,5.91,486700.0,0.0
FLC,2011-11-17,5.97,6.19,5.86,5.91,448700.0,0.0
FLC,2011-11-18,5.97,6.3,5.86,6.13,312600.0,0.0
FLC,2011-11-21,6.13,6.3,5.91,6.3,232100.0,0.0
FLC,2011-11-22,6.25,6.64,6.25,6.64,252600.0,0.0
FLC,2011-11-23,6.91,7.03,6.91,7.03,151900.0,0.0
FLC,2011-11-24,7.42,7.47,7.42,7.47,218300.0,0.0
FLC,2011-11-25,7.81,7.97,7.7,7.81,442100.0,0.0
FLC,2011-11-28,8.25,8.31,8.14,8.31,424400.0,0.0
FLC,2011-11-29,8.81,8.81,8.64,8.81,543800.0,0.0
FLC,2011-11-30,9.15,9.15,8.64,8.7,369700.0,0.0
FLC,2011-12-01,8.92,9.03,8.2,8.2,291800.0,0.0
FLC,2011-12-02,8.42,8.42,7.97,8.14,315200.0,0.0
FLC,2011-12-05,8.59,8.64,7.81,8.31,227100.0,0.0
FLC,2011-12-06,8.53,8.81,8.31,8.31,259000.0,0.0
FLC,2011-12-07,8.31,8.31,7.97,7.97,279600.0,0.0
FLC,2011-12-08,7.92,8.09,7.58,7.75,214500.0,0.0
FLC,2011-12-09,7.92,7.97,7.53,7.97,296000.0,0.0
FLC,2011-12-12,7.92,8.31,7.75,8.2,353800.0,0.0
FLC,2011-12-13,8.2,8.53,8.03,8.36,439500.0,0.0
FLC,2011-12-14,8.48,8.53,8.09,8.09,152200.0,0.0
FLC,2011-12-15,8.25,8.25,7.92,8.03,257600.0,0.0
FLC,2011-12-16,8.03,8.59,7.81,8.48,335400.0,0.0
FLC,2011-12-19,8.31,8.81,8.09,8.81,538000.0,0.0
FLC,2011-12-20,8.81,9.2,8.59,9.2,431500.0,0.0
FLC,2011-12-21,9.2,9.65,9.2,9.65,308500.0,0.0
FLC,2011-12-22,9.81,10.26,9.81,9.98,281800.0,0.0
FLC,2011-12-23,9.93,9.93,9.37,9.59,356800.0,0.0
FLC,2011-12-26,9.7,10.09,9.42,10.09,353200.0,0.0
